Оригинал	Утверждено	Фаргус	Изменено	Примечание	Пример файла
Terrece	Террес	Терраса	да	гуманоид, анимация=мужчина-маг	terrece.CRE
Tersus	(н/у)	Терсус	не утв.	гуманоид, анимация=хобгоблин	tersus.CRE
Tessilan	(н/у)	Тессилан	не утв.	гуманоид, анимация=мужчина-вор	mersil3.CRE
Tethtoril	(н/у)	Теторил	не утв.	гуманоид, анимация=монах	tethto.CRE
Tethtorils	Тесторилы (н/у)	(-)	не утв.	(-)	(-)
Tethyrian Archer	(н/у)	Тетирийский Лучник	не утв.	гуманоид, анимация=эльф-боец	amtarc01.CRE
Tethyrian Battlemage	(н/у)	Тетирийский Боевой маг	не утв.	гуманоид, анимация=мужчина-маг	amtmag01.CRE
Tethyrian Captain	(н/у)	Тетирийский Капитан	не утв.	гуманоид, анимация=мужчина-боец	amtcap01.CRE
Tethyrian Pikeman	(н/у)	Тетирийский Пикейщик	не утв.	гуманоид, анимация=солдат Амна	amtpik01.CRE
Teven	(н/у)	Тевен	не утв.	гуманоид, анимация=мужчина-боец	teven.CRE
Teyngan	(н/у)	Тейнган	не утв.	гуманоид, анимация=мужчина-боец	teynga.CRE
Thalantyr	(н/у)	Талантир	не утв.	гуманоид, анимация=мужчина-маг	thalan.CRE
Thaldorn	(н/у)	Талдорн	не утв.	гуманоид, анимация=мужчина-вор	thaldo.CRE
Thalia Thunderburp	Талия Буря-в-глотке	Талия Тандербурп	да	гуманоид, анимация=женщина-полурослик-клерик	ffwench.CRE
Thaxll'ssillyia	(н/у)	Такслл Силлийа	не утв.	животное, анимация=черный дракон	dragshad.CRE
The Amazing Oopah	(н/у)	Потрясающий Упах	не утв.	гуманоид-гигант, анимация=огр	oopah.CRE
The Arch Druid	(н/у)	Лукавый Друид - Архидруид!	не утв.	гуманоид, (надо посмотреть в БГ1)	ARCHDR.CRE
The Great Gazib	(н/у)	Великий Газиб	не утв.	гуманоид, анимация=мужчина-маг	gazib.CRE
The Huntress	(н/у)	Охотница	не утв.	монстр, анимация=женщина-боец	gorwom02.CRE
The Infamous Kurt	(н/у)	Неизвестный Курт	не утв.	гуманоид, анимация=MDK2_KURT - 32563	mdk2kurt.CRE
The Master Brain	(н/у)	Главный Мозг	не утв.	монстр, анимация=DOOM_GUARD_LARGER - 2566	udmaster.CRE
The Ravager	(н/у)	Губитель	не утв.	гуманоид-гигант, анимация=RAVER (богемный аристократ?)	chalrv01.CRE
The Surgeon	(н/у)	Осетр	не утв.	гуманоид, анимация=мужчина-маг	surgeo.CRE
The Thumb	Крюк	Тамб	да	владелец таверны Дары моря (Sea Bounty)	thumb.CRE
The Unseeing Eye	(н/у)	Невидящее Око	не утв.	монстр, анимация=бехолдер	unsee.CRE
Thelynn'ss	(н/у)	Телинс	не утв.	гуманоид, анимация=эльф-боец	senken01.CRE
Thenry	(н/у)	Тенри	не утв.	гуманоид, анимация=мужчина-дварф-боец	jade2.CRE
Theodon	(н/у)	Теодон	не утв.	гуманоид, анимация=мужчина-маг	bgwillia.CRE
Therella	(н/у)	Терелла	не утв.	гуманоид, анимация=крестьянка	therel.CRE
Therndle Daglefodd	(н/у)	Терндл Даглфодд	не утв.	гуманоид, анимация=мужчина-дварф-боец	udsvir05.CRE
Theshal	(н/у)	Тешал	не утв.	Нежить, анимация=GHAST - 3466	gmayor.CRE
Thief	(н/у)	Вор	не утв.	гуманоид, анимация=мужчина-вор	ar18thif.CRE
Thrall	(н/у)	Раб	не утв.	гуманоид, анимация=женщина-маг	pthral02.CRE
Thrall Fighter - Thrall Fighter	(н/у)	Воин Раб	не утв.	гуманоид, анимация=мужчина-боец	pthral03.CRE
Thrall Leader	(н/у)	Предводитель Рабов	не утв.	гуманоид, анимация=мужчина-боец	pthral01.CRE
Thraxis Gall	(н/у)	Траксис Голл	не утв.	Нежить, анимация=эльф-маг	thraxi.CRE
Throne	Трона (н/у)	(-)	не утв.	(-)	(-)
Thug	(н/у)	Туг	не утв.	гуманоид, анимация=мужчина-вор	genthf01.CRE
Thurm	Турм (н/у)	(-)	не утв.	(-)	(-)
Ti'Vael	(н/у)	Ти'Ваэль	не утв.	гуманоид, анимация=мужчина-дварф-боец	cltiva01.CRE
Tiana	(н/у)	Тианн	не утв.	гуманоид, анимация=женщина-маг	tiana.CRE
Tiax	Тиакс	Тиакс	нет	NPC из БГ1	pptiax.CRE
Tibbit	(н/у)	Тиббит	не утв.	гуманоид, анимация=IC_GOBLINELITE_BOW - 58416	ysgp03.CRE
Tiber	(н/у)	Тибр	не утв.	гуманоид, анимация=крестьянин	tiber.CRE
Tick	(н/у)	Тик	не утв.	гуманоид, анимация=крестьянин	tick.CRE
Tiefling	(н/у)	Тифлинг	не утв.	гуманоид, анимация=эльфийка-маг	gorcamb2.CRE
Tiiro	(н/у)	Тииро	не утв.	гуманоид, анимация=мужчина-вор	crothf01.CRE
Tim Goldenhand	(н/у)	Тим Голденхэнд	не утв.	гуманоид, анимация=эльф-маг	bazpat03.CRE
Tipian	(н/у)	Типиан	не утв.	гуманоид, анимация=раб	tipian.CRE
Tirdir	(н/у)	ТирДир	не утв.	гуманоид, анимация=крестьянин	tirdir.CRE
Tiris	(н/у)	Тирис	не утв.	гуманоид, анимация=мужчина-вор	trskin02.CRE
Tirthold	(н/у)	Титолд	не утв.	гуманоид, анимация=CLERIC_MALE_HUMAN_LOW - 248	tirthold.CRE
Tizzak	(н/у)	Тиззак	не утв.	гуманоид, анимация=мужчина-вор	arnwar08.CRE
Toady	(н/у)	Тоади	не утв.	гуманоид, анимация=мужчина-полурослик-клерик	toady.CRE
Togan	(н/у)	Тоган	не утв.	гуманоид, анимация=мужчина-полурослик-боец	obshal02.CRE
Tolgerias	Толджериас	Толгериас	да	гуманоид, анимация=мужчина-маг	tolger.CRE
Tolmas Bendelia	(н/у)	Толмас Бенделья	не утв.	гуманоид, анимация=толстяк	kpmerc01.CRE
Tomass Sangui	Томасс Сангуи (н/у)	(-)	не утв.	(-)	(-)
Tombelthen Soldiers	(н/у)	Солдаты Томболтена	не утв.	гуманоид, анимация=мужчина-боец	rigen03.CRE
Toop the Brave	(н/у)	Храбрец Туп	не утв.	гуманоид, анимация=KOBOLD_XVART - 31744	ysgp01.CRE
Tor Lobo	(н/у)	Тор Лобо	не утв.	гуманоид, анимация=мужчина-боец	torlob.CRE
Torch	(н/у)	Факел	не утв.	монстр, анимация=DOOM_GUARD - 2565	gortor1.CRE
TorGal	ТорГал	Торгал	нет	тролль	torgal.CRE
Torlo	(н/у)	Торло	не утв.	гуманоид, анимация=крестьянин	torlo.CRE
Torm	Торм	Торм	нет	Бог, Властелин Верности	(-)
Tortured One	(н/у)	Пытаемый	не утв.	гуманоид, анимация=DOOM_GUARD - 2565	life01.CRE
Tot	(н/у)	Тот	не утв.	гуманоид, анимация=мальчик	tot.CRE
Tourist	(н/у)	Путешественник	не утв.	гуманоид, анимация=дворянин	slvic01.CRE
Town Crier	(н/у)	Городской глашатай	не утв.	гуманоид, анимация=STATIC_PEASANT_MAN - 46336	bgtowncr.CRE
Tracea Carol	(н/у)	Трейсия Кэрол	не утв.	гуманоид, анимация=MAGE_FEMALE_HUMAN_LOW - 218	tracea.CRE
Trainee	(н/у)	Стажер	не утв.	гуманоид, анимация=мужчина-вор	arnman10.CRE
Tralithan	(н/у)	Трейлитан	не утв.	гуманоид, анимация=мужчина-боец	tralit.CRE
Tranzig	(н/у)	Транзиг	не утв.	гуманоид, анимация=мужчина-маг	tranzi.CRE
Traveler	(н/у)	Путник	не утв.	гуманоид, анимация=дворянин	rerak01.CRE
Travin	Травин	Травин	нет	вор	travin.CRE
Travor	(н/у)	Тревор	не утв.	гуманоид, анимация=STATIC_PEASANT_MAN_CHAIR - 1664	uhpat01.CRE
Trax	Тракс	Тракс	нет	гуманоид, анимация=дворянин	trax.CRE
Trax's Guard	(н/у)	Охранник Тракса	не утв.	гуманоид, анимация=солдат Амна	traxg.CRE
Tredain Caith	Тредейн Кейт (н/у)	(-)	не утв.	сын Велейка Кейта	(-)
Treddin	(н/у)	Треддин	не утв.	гуманоид, анимация=крестьянин	sptredd.CRE
Tremain Belde'ar	(н/у)	Тремейн Белд'ар	не утв.	гуманоид, анимация=мужчина-клерик	tremai.CRE
Triadore	(н/у)	Триадор.	не утв.	гуманоид, анимация=толстяк	triado.CRE
Trissa	(н/у)	Трисса	не утв.	гуманоид, анимация=крестьянка	trftow01.CRE
Trixy	Трикси	(-)	да	(-)	(-)
Troll	(н/у)	Тролль	не утв.	монстр, анимация=троль	datroll.CRE
Troll Cook	(н/у)	Повар Троллей	не утв.	монстр, анимация=троль	firtrl01.CRE
Tuckerby Lettleworp	Такерби Леттлеворп (н/у)	(-)	не утв.	(-)	(-)
Turg	(н/у)	Тург	не утв.	гуманоид, анимация=мужчина-боец	jaerto2.CRE
Turmish Leader	(н/у)	Турмишский Лидер	не утв.	гуманоид, анимация=мужчина-боец	bdturm01.CRE
Turmish Sorceress	(н/у)	Турмишская Колдунья	не утв.	гуманоид, анимация=женщина-маг	bdturm03.CRE
Turmish Thief	(н/у)	Турмишский Вор	не утв.	гуманоид, анимация=мужчина-вор	bdturm02.CRE
Turmish Thug	(н/у)	Турмишский Убийца	не утв.	гуманоид, анимация=мужчина-боец	bdturm04.CRE
Turpin	(н/у)	Турфин	не утв.	гуманоид, анимация=мужчина-боец	turpin.CRE
Tuth	(н/у)	Тут	не утв.	гуманоид, анимация=мужчина-боец	tuth.CRE
Tutor	(н/у)	Наставник	не утв.	гуманоид, анимация=монах	monktu1.CRE
Tymora	Тимора	(-)	да	Богиня Удачи	(-)
Tyr	Тир	ТирДир	да	Бог Справедливости	(-)
Tyrian	(н/у)	Тириан	не утв.	гуманоид, анимация=мужчина-боец	mgass02.CRE
Tyrianna	(н/у)	Тирианна	не утв.	гуманоид, анимация=женщина-клерик	plgirl01.CRE
Uda the Cook	(н/у)	Кухарка Уда	не утв.	гуманоид, анимация=толстушка	ffcook.CRE
Uder Mordin	(н/у)	Удер Мордин	не утв.	гуманоид, анимация=мужчина-дварф-вор	uddear02.CRE
Ughh	(н/у)	Ууух!	не утв.	гуманоид-гигант, анимация=огр	ughh.CRE
Ulcaster	(н/у)	Улкастер	не утв.	гуманоид, анимация=мужчина-маг	ulcast.CRE
Ulene	(н/у)	Улен	не утв.	гуманоид, анимация=SIRINE - 8192	idryad01.CRE
Ulf	(н/у)	Ульф	не утв.	гуманоид, анимация=эльф-боец	ulf.CRE
Ulgan	Улган (н/у)	(-)	не утв.	хранитель топора Stonefire	(-)
Ulgoth Boy	(н/у)	Улготский мальчик	не утв.	гуманоид, анимация=мальчик	childulg.CRE
Ulitharid	(н/у)	Улитхарид	не утв.	гуманоид, анимация=ловец разума	gormind.CRE
Ullion	Уллион (н/у)	(-)	не утв.	маг, создатель алебарды Dragon's Breath	(-)
Ulma	(н/у)	Ульма	не утв.	гуманоид, анимация=куртизанка	trwen01.CRE
Ulraunt	(н/у)	Улраунт	не утв.	гуманоид, анимация=мужчина-маг	ulraun.CRE
Ulvaryl	(н/у)	Улварил	не утв.	Нежить, анимация=женщина-вампир	ulvaryl.CRE
Umar	(н/у)	Умар	не утв.	гуманоид, анимация=женщина-маг	rumar01.CRE
Umber Hulk	(н/у)	Бурый увалень	не утв.	монстр, анимация=бурый увалень	amumber.CRE
Umber Hulk Elder	(н/у)	Старший Бурый увалень	не утв.	монстр, анимация=бурый увалень	umbhul02.CRE
Umberlee	Амберли	Амберли, Умберли	да	Богиня	(-)
Uncle Gerhardt	Дядя Герхардт	Дядя Герхардт	нет	дядя Яна	gerhardt.CRE
Uncle Lester	(н/у)	Дядя Лестер	не утв.	Нежить, анимация=зомби	lester.CRE
Uncle Quayle	Дядя Квэйл (н/у)	(-)	не утв.	дядя Аэри	(-)
Uncle Scratchy	Дядюшка Скратчи	Дядюшка Скратчи	нет	из историй Яна Янсена	(-)
Uncle Sven	Дядюшка Свен	Дядюшка Свен	нет	из историй Яна Янсена	(-)
